split,review_id,document_id,issue_id,issue_title,source_or_case_theme,jurisdiction_or_source,law_category,law_category_detail,stance,public_content_status
real_case_cn,RV001,DOC-001,CASE-001-I01,设备验收完成后买方付款义务是否已经成就,医疗设备买卖合同分期付款与违约金争议案,"China civil judgment, de-identified",Contract,Sales Contract,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV002,DOC-001,CASE-001-I01,设备验收完成后买方付款义务是否已经成就,医疗设备买卖合同分期付款与违约金争议案,"China civil judgment, de-identified",Contract,Sales Contract,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV003,DOC-001,CASE-001-I02,逾期付款违约金标准应如何评价,医疗设备买卖合同分期付款与违约金争议案,"China civil judgment, de-identified",Contract,Sales Contract,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV004,DOC-001,CASE-001-I02,逾期付款违约金标准应如何评价,医疗设备买卖合同分期付款与违约金争议案,"China civil judgment, de-identified",Contract,Sales Contract,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV005,DOC-001,CASE-001-I03,违约金应按不同付款节点分别计算还是按总价统一计算,医疗设备买卖合同分期付款与违约金争议案,"China civil judgment, de-identified",Contract,Sales Contract,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV006,DOC-001,CASE-001-I03,违约金应按不同付款节点分别计算还是按总价统一计算,医疗设备买卖合同分期付款与违约金争议案,"China civil judgment, de-identified",Contract,Sales Contract,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV007,DOC-002,CASE-002-I01,两家医院提出异议时是否应重新鉴定,转诊后感染与分流手术医疗损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV008,DOC-002,CASE-002-I01,两家医院提出异议时是否应重新鉴定,转诊后感染与分流手术医疗损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV009,DOC-002,CASE-002-I02,两家医院的责任分配范围应如何评价,转诊后感染与分流手术医疗损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV010,DOC-002,CASE-002-I02,两家医院的责任分配范围应如何评价,转诊后感染与分流手术医疗损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV011,DOC-002,CASE-002-I03,精神损害抚慰金等非财产损害项目应如何评价,转诊后感染与分流手术医疗损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV012,DOC-002,CASE-002-I03,精神损害抚慰金等非财产损害项目应如何评价,转诊后感染与分流手术医疗损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV013,DOC-003,CASE-003-I01,县级医院与个体诊所是否构成共同医疗过错并与死亡存在因果关系,胸痛误诊致死医疗损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV014,DOC-003,CASE-003-I01,县级医院与个体诊所是否构成共同医疗过错并与死亡存在因果关系,胸痛误诊致死医疗损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV015,DOC-003,CASE-003-I02,两家机构总体原因力范围应如何评价,胸痛误诊致死医疗损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV016,DOC-003,CASE-003-I02,两家机构总体原因力范围应如何评价,胸痛误诊致死医疗损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV017,DOC-003,CASE-003-I03,县级医院与个体诊所内部责任分配应如何评价,胸痛误诊致死医疗损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV018,DOC-003,CASE-003-I03,县级医院与个体诊所内部责任分配应如何评价,胸痛误诊致死医疗损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV019,DOC-004,CASE-004-I01,年满三岁后新增伤残、护理和营养损失能否另行起诉,产前超声遗漏与术后复发后续损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV020,DOC-004,CASE-004-I01,年满三岁后新增伤残、护理和营养损失能否另行起诉,产前超声遗漏与术后复发后续损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV021,DOC-004,CASE-004-I02,社区卫生服务机构对后续残疾损失的责任范围应如何评价,产前超声遗漏与术后复发后续损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV022,DOC-004,CASE-004-I02,社区卫生服务机构对后续残疾损失的责任范围应如何评价,产前超声遗漏与术后复发后续损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV023,DOC-004,CASE-004-I03,儿童专科医院对后续残疾损失的责任范围应如何评价,产前超声遗漏与术后复发后续损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV024,DOC-004,CASE-004-I03,儿童专科医院对后续残疾损失的责任范围应如何评价,产前超声遗漏与术后复发后续损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV025,DOC-005,CASE-005-I01,后续护理费的比例与先行支持年限应如何评价,电动三轮车交通事故赔偿上诉案,"China civil judgment, de-identified",Tort,Motor Vehicle Accident,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV026,DOC-005,CASE-005-I01,后续护理费的比例与先行支持年限应如何评价,电动三轮车交通事故赔偿上诉案,"China civil judgment, de-identified",Tort,Motor Vehicle Accident,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV027,DOC-005,CASE-005-I02,工资流水未明显减少时误工费是否仍应支持,电动三轮车交通事故赔偿上诉案,"China civil judgment, de-identified",Tort,Motor Vehicle Accident,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV028,DOC-005,CASE-005-I02,工资流水未明显减少时误工费是否仍应支持,电动三轮车交通事故赔偿上诉案,"China civil judgment, de-identified",Tort,Motor Vehicle Accident,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV029,DOC-005,CASE-005-I03,商业险分担比例应如何评价,电动三轮车交通事故赔偿上诉案,"China civil judgment, de-identified",Tort,Motor Vehicle Accident,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV030,DOC-005,CASE-005-I03,商业险分担比例应如何评价,电动三轮车交通事故赔偿上诉案,"China civil judgment, de-identified",Tort,Motor Vehicle Accident,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV031,DOC-006,CASE-006-I01,加装电梯表决程序存在瑕疵时参建业主能否请求排除低层业主阻挠施工,老旧住宅加装电梯排除妨害争议案,"China civil judgment, de-identified",Property,Nuisance / Removal of Obstruction,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV032,DOC-006,CASE-006-I01,加装电梯表决程序存在瑕疵时参建业主能否请求排除低层业主阻挠施工,老旧住宅加装电梯排除妨害争议案,"China civil judgment, de-identified",Property,Nuisance / Removal of Obstruction,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV033,DOC-007,CASE-007-I01,供货安装合同尾款及附加费用请求权是否已超过诉讼时效,设备供货安装尾款与质量反诉争议案,"China civil judgment, de-identified",Contract,Service / Work Contract,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV034,DOC-007,CASE-007-I01,供货安装合同尾款及附加费用请求权是否已超过诉讼时效,设备供货安装尾款与质量反诉争议案,"China civil judgment, de-identified",Contract,Service / Work Contract,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV035,DOC-007,CASE-007-I02,发包方仅凭单方送检的检测报告能否主张供货方承担违约责任及检测费,设备供货安装尾款与质量反诉争议案,"China civil judgment, de-identified",Contract,Service / Work Contract,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV036,DOC-007,CASE-007-I02,发包方仅凭单方送检的检测报告能否主张供货方承担违约责任及检测费,设备供货安装尾款与质量反诉争议案,"China civil judgment, de-identified",Contract,Service / Work Contract,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV037,DOC-008,CASE-008-I01,鉴定意见被指不公时法院是否应准许重新鉴定,胸痛就诊后未转上级医院死亡医疗损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV038,DOC-008,CASE-008-I01,鉴定意见被指不公时法院是否应准许重新鉴定,胸痛就诊后未转上级医院死亡医疗损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV039,DOC-008,CASE-008-I02,接诊医院对患者死亡结果的责任范围应如何评价,胸痛就诊后未转上级医院死亡医疗损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV040,DOC-008,CASE-008-I02,接诊医院对患者死亡结果的责任范围应如何评价,胸痛就诊后未转上级医院死亡医疗损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV041,DOC-008,CASE-008-I03,死亡总损失及被扶养人生活费、误工费等赔偿项目应如何认定,胸痛就诊后未转上级医院死亡医疗损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV042,DOC-008,CASE-008-I03,死亡总损失及被扶养人生活费、误工费等赔偿项目应如何认定,胸痛就诊后未转上级医院死亡医疗损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV043,DOC-009,CASE-009-I01,医院诊疗行为是否对患者造成损害并与后续损害后果存在因果关系,椎体成形术后骨水泥移位心脏损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV044,DOC-009,CASE-009-I01,医院诊疗行为是否对患者造成损害并与后续损害后果存在因果关系,椎体成形术后骨水泥移位心脏损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV045,DOC-009,CASE-009-I02,医院过错参与度及赔偿责任比例应如何评价,椎体成形术后骨水泥移位心脏损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV046,DOC-009,CASE-009-I02,医院过错参与度及赔偿责任比例应如何评价,椎体成形术后骨水泥移位心脏损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV047,DOC-009,CASE-009-I03,医疗费、护理费、残疾赔偿金、住宿费等各项损失范围及金额应如何认定,椎体成形术后骨水泥移位心脏损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV048,DOC-009,CASE-009-I03,医疗费、护理费、残疾赔偿金、住宿费等各项损失范围及金额应如何认定,椎体成形术后骨水泥移位心脏损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV049,DOC-009,CASE-009-I04,原告以伤残评定遗漏为由申请重新鉴定是否应获准许,椎体成形术后骨水泥移位心脏损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV050,DOC-009,CASE-009-I04,原告以伤残评定遗漏为由申请重新鉴定是否应获准许,椎体成形术后骨水泥移位心脏损害案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV051,DOC-010,CASE-010-I01,医院是否应对死亡结果承担赔偿责任,颅脑损伤住院后肺动脉栓塞死亡医疗损害责任案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV052,DOC-010,CASE-010-I01,医院是否应对死亡结果承担赔偿责任,颅脑损伤住院后肺动脉栓塞死亡医疗损害责任案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV053,DOC-010,CASE-010-I02,医疗费、死亡赔偿金、精神损害抚慰金及鉴定费分担等损失认定应如何评价,颅脑损伤住院后肺动脉栓塞死亡医疗损害责任案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV054,DOC-010,CASE-010-I02,医疗费、死亡赔偿金、精神损害抚慰金及鉴定费分担等损失认定应如何评价,颅脑损伤住院后肺动脉栓塞死亡医疗损害责任案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV055,DOC-011,CASE-011-I01,法院是否应支持继续办理产权转移登记,房屋买卖尾款与过户履行争议案,"China civil judgment, de-identified",Property,Real Estate Sale Contract,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV056,DOC-011,CASE-011-I01,法院是否应支持继续办理产权转移登记,房屋买卖尾款与过户履行争议案,"China civil judgment, de-identified",Property,Real Estate Sale Contract,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV057,DOC-011,CASE-011-I02,尾款 2 万元及双方违约金、律师费请求应如何处理,房屋买卖尾款与过户履行争议案,"China civil judgment, de-identified",Property,Real Estate Sale Contract,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV058,DOC-011,CASE-011-I02,尾款 2 万元及双方违约金、律师费请求应如何处理,房屋买卖尾款与过户履行争议案,"China civil judgment, de-identified",Property,Real Estate Sale Contract,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV059,DOC-012,CASE-012-I01,既有鉴定意见能否作为认定医疗过错与原因力的依据,蛛网膜下腔出血迟延诊疗与承继责任争议案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV060,DOC-012,CASE-012-I01,既有鉴定意见能否作为认定医疗过错与原因力的依据,蛛网膜下腔出血迟延诊疗与承继责任争议案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV061,DOC-012,CASE-012-I02,原接诊医院注销并归入他院后承继医院是否应承担赔偿责任,蛛网膜下腔出血迟延诊疗与承继责任争议案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV062,DOC-012,CASE-012-I02,原接诊医院注销并归入他院后承继医院是否应承担赔偿责任,蛛网膜下腔出血迟延诊疗与承继责任争议案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV063,DOC-012,CASE-012-I03,死亡赔偿金、被扶养人生活费、精神损害抚慰金及责任比例应如何评价,蛛网膜下腔出血迟延诊疗与承继责任争议案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV064,DOC-012,CASE-012-I03,死亡赔偿金、被扶养人生活费、精神损害抚慰金及责任比例应如何评价,蛛网膜下腔出血迟延诊疗与承继责任争议案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV065,DOC-013,CASE-013-I01,共同饮酒者在主观上是否存在侵权过失,共同饮酒后死亡侵权责任争议案,"China civil judgment, de-identified",Tort,Personal Injury,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV066,DOC-013,CASE-013-I01,共同饮酒者在主观上是否存在侵权过失,共同饮酒后死亡侵权责任争议案,"China civil judgment, de-identified",Tort,Personal Injury,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV067,DOC-013,CASE-013-I02,共同饮酒行为与死亡结果之间是否具有法律上的因果关系,共同饮酒后死亡侵权责任争议案,"China civil judgment, de-identified",Tort,Personal Injury,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV068,DOC-013,CASE-013-I02,共同饮酒行为与死亡结果之间是否具有法律上的因果关系,共同饮酒后死亡侵权责任争议案,"China civil judgment, de-identified",Tort,Personal Injury,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV069,DOC-014,CASE-014-I01,低血糖患者死亡结果与接诊医院诊疗行为之间是否存在因果关系并应承担赔偿责任,低血糖延误转诊医疗损害责任案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV070,DOC-014,CASE-014-I01,低血糖患者死亡结果与接诊医院诊疗行为之间是否存在因果关系并应承担赔偿责任,低血糖延误转诊医疗损害责任案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV071,DOC-014,CASE-014-I02,医疗费、精神损害抚慰金、鉴定费等赔偿项目认定是否妥当,低血糖延误转诊医疗损害责任案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV072,DOC-014,CASE-014-I02,医疗费、精神损害抚慰金、鉴定费等赔偿项目认定是否妥当,低血糖延误转诊医疗损害责任案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV073,DOC-015,CASE-015-I01,腹痛患者次日心源性猝死时医院是否应承担赔偿责任,腹痛就诊后心源性猝死医疗损害责任案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV074,DOC-015,CASE-015-I01,腹痛患者次日心源性猝死时医院是否应承担赔偿责任,腹痛就诊后心源性猝死医疗损害责任案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV075,DOC-015,CASE-015-I02,被扶养人生活费、精神损害抚慰金等赔偿项目是否认定适当,腹痛就诊后心源性猝死医疗损害责任案,"China civil judgment, de-identified",Tort,Medical Malpractice,反对法院判决,metadata only; content appears only in excerpted sample rows
real_case_cn,RV076,DOC-015,CASE-015-I02,被扶养人生活费、精神损害抚慰金等赔偿项目是否认定适当,腹痛就诊后心源性猝死医疗损害责任案,"China civil judgment, de-identified",Tort,Medical Malpractice,支持法院判决,metadata only; content appears only in excerpted sample rows
